		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   20   22   22   23   21   20   33   26  5.942117 0.653716 SUCCESS   0
000000011   21   21   25   30   18   29   25   30  6.299586 0.613713 SUCCESS   1
000000101   26   20   20   31   28   22   22   28  5.180840 0.738084 SUCCESS   2
000000111   23   22   23   19   19   32   22   22  5.814355 0.668018 SUCCESS   3
000001001   21   23   24   25   29   24   33   25  4.647946 0.794456 SUCCESS   4
000001011   21   19   17   20   33   34   24   26 12.018429 0.150383 SUCCESS   5
000001101   16   21   29   26   31   23   21   34 10.807668 0.212837 SUCCESS   6
000001111   25   27   23   16   28   31   27   28  6.605421 0.579740 SUCCESS   7
000010001   35   21   25   17   21   23   27   18 10.178788 0.252701 SUCCESS   8
000010011   29   26   34   24   23   22   26   30  6.682872 0.571202 SUCCESS   9
000010101   24   19   32   34   29   23   29   25  9.487681 0.302839 SUCCESS  10
000010111   19   18   23   21   31   32   26   23  8.027353 0.430803 SUCCESS  11
000011001   22   23   32   25   19   12   21   27 11.313421 0.184565 SUCCESS  12
000011011   15   24   35   27   24   26   22   30 10.485946 0.232560 SUCCESS  13
000011101   22   19   25   18   19   19   26   18  7.540798 0.479560 SUCCESS  14
000011111   26   23   24   23   30   32   25   21  4.563213 0.803076 SUCCESS  15
000100011   23   20   26   16   22   25   29   21  5.644888 0.686940 SUCCESS  16
000100101   24   19   21   20   23   23   32   25  5.179516 0.738228 SUCCESS  17
000100111   31   31   24   22   23   22   23   30  5.681959 0.682808 SUCCESS  18
000101001   21   23   30   31   25   29   17   26  7.088004 0.527168 SUCCESS  19
000101011   21   22   28   22   17   19   26   19  6.423376 0.599919 SUCCESS  20
000101101   26   23   19   23   26   25   24   27  1.926547 0.983181 SUCCESS  21
000101111   19   20   21   21   22   31   31   27  7.256147 0.509265 SUCCESS  22
000110011   22   17   21   20   19   16   21   26  8.692643 0.368884 SUCCESS  23
000110101   19   31   27   24   25   28   19   25  5.189446 0.737149 SUCCESS  24
000110111   20   31   34   26   29   22   26   24  7.936662 0.439682 SUCCESS  25
000111001   24   20   26   26   26   24   23   20  2.061591 0.979065 SUCCESS  26
000111011   30   16   19   18   13   22   30   12 20.877043 0.007481 FAILURE  27
000111101   35   21   26   22   20   32   25   33 12.021077 0.150266 SUCCESS  28
000111111   24   23   25   17   26   33   32   15 11.857568 0.157673 SUCCESS  29
001000011   22   21   23   26   22   29   27   26  2.460765 0.963535 SUCCESS  30
001000101   20   26   20   19   21   20   16   23  7.362725 0.498050 SUCCESS  31
001000111   26   20   27   21   26   26   32   17  6.688830 0.570547 SUCCESS  32
001001011   30   22   27   21   25   17   26   18  6.526645 0.588454 SUCCESS  33
001001101   27   22   27   25   31   29   18   23  5.393336 0.714827 SUCCESS  34
001001111   27   28   24   24   19   31   32   20  7.198555 0.515370 SUCCESS  35
001010011   18   21   26   30   28   29   25   24  5.130530 0.743538 SUCCESS  36
001010101   29   22   32   20   29   27   25   31  7.454079 0.488524 SUCCESS  37
001010111   22   19   29   25   13   16   20   24 11.709947 0.164622 SUCCESS  38
001011011   26   15   28   18   23   23   25   21  6.805339 0.557774 SUCCESS  39
001011101   27   20   29   24   31   26   16   25  6.968848 0.539998 SUCCESS  40
001011111   25   28   27   24   26   16   26   23  4.146828 0.843639 SUCCESS  41
001100101   18   25   28   19   23   18   27   32  8.086269 0.425089 SUCCESS  42
001100111   22   23   21   18   19   16   23   25  6.871536 0.550554 SUCCESS  43
001101011   26   26   21   22   24   29   20   27  2.960560 0.936808 SUCCESS  44
001101101   22   25   23   25   33   23   21   24  4.070700 0.850689 SUCCESS  45
001101111   18   29   34   27   29   17   24   26 10.155618 0.254273 SUCCESS  46
001110101   21   28   19   24   25   30   19   27  5.146417 0.741818 SUCCESS  47
001110111   24   23   20   17   13   22   28   15 13.268247 0.102947 SUCCESS  48
001111011   22   21   23   27   26   26   20   23  2.222452 0.973421 SUCCESS  49
001111101   25   28   26   23   25   25   28   20  2.156254 0.975843 SUCCESS  50
001111111   26   28   25   17   17   31   32   15 13.348347 0.100413 SUCCESS  51
010000011   24   18   36   19   26   19   24   25 10.043744 0.261969 SUCCESS  52
010000111   21   20   20   23   26   31   26   23  4.357999 0.823466 SUCCESS  53
010001011   24   30   13   25   24   26   16   24  9.966292 0.267400 SUCCESS  54
010001111   24   20   35   28   27   24   30   23  7.843323 0.448923 SUCCESS  55
010010011   31   33   26   22   21   35   22   17 13.147105 0.106887 SUCCESS  56
010010111   28   35   32   26   27   15   18   22 13.875283 0.085075 SUCCESS  57
010011011   26   20   21   28   26   25   21   33  5.715058 0.679115 SUCCESS  58
010011111   25   30   28   22   18   27   32   18  8.341794 0.400815 SUCCESS  59
010100011   30   16   18   30   24   17   30   25 11.051939 0.198774 SUCCESS  60
010100111   16   27   22   30   29   22   25   26  6.112908 0.634586 SUCCESS  61
010101011   31   23   35   27   25   30   26   23  8.513908 0.384944 SUCCESS  62
010101111   32   23   29   23   20   23   27   22  4.943851 0.763560 SUCCESS  63
010110011   24   35   16   38   26   18   21   33 21.061735 0.006985 FAILURE  64
010110111   28   23   20   23   22   24   26   21  2.383313 0.966950 SUCCESS  65
010111011   22   20   29   21   24   20   10   28 12.608915 0.126033 SUCCESS  66
010111111   25   34   27   25   16   21   18   24  9.442004 0.306391 SUCCESS  67
011000111   27   22   28   27   18   38   24   21 11.435225 0.178237 SUCCESS  68
011001111   24   27   25   17   19   17   25   35 10.958600 0.204056 SUCCESS  69
011010111   29   27   22   22   27   37   13   30 15.519641 0.049795 SUCCESS  70
011011111   24   32   18   24   31   23   22   28  6.918537 0.545447 SUCCESS  71
011101111   22   15   28   17   18   15   21   25 12.835974 0.117619 SUCCESS  72
011111111   18   34   28   29   15   25   26   15 14.695476 0.065344 SUCCESS  73
100000000   20   22   22   23   21   20   33   26  5.942117 0.653716 SUCCESS  74
100010000   25   22   23   27   27   24   23   34  4.910752 0.767071 SUCCESS  75
100100000   24   17   33   21   26   28   34   22 10.757358 0.215830 SUCCESS  76
100101000   25   18   14   23   23   16   24   26  9.600217 0.294213 SUCCESS  77
100110000   22   16   20   29   20   22   33   27  9.433398 0.307063 SUCCESS  78
100111000   20   42   23   28   22   27   30   30 17.767062 0.023042 SUCCESS  79
101000000   27   29   24   20   26   29   27   33  6.437278 0.598373 SUCCESS  80
101000100   25   26   17   29   28   24   23   30  5.308602 0.724140 SUCCESS  81
101001000   29   19   29   25   32   32   28   28  9.039520 0.338973 SUCCESS  82
101001100   23   24   19   29   22   23   34   22  6.697436 0.569601 SUCCESS  83
101010000   16   29   20   24   39   31   24   20 16.417285 0.036782 SUCCESS  84
101010100   24   25   17   22   33   23   18   25  7.552052 0.478402 SUCCESS  85
101011000   26   16   30   20   24   32   24   19  8.942209 0.347195 SUCCESS  86
101011100   28   18   22   28   21   20   19   22  5.864665 0.662388 SUCCESS  87
101100000   25   26   32   20   25   15   25   24  7.171413 0.518257 SUCCESS  88
101100100   28   23   27   22   26   22   33   15  8.392104 0.396135 SUCCESS  89
101101000   17   22   25   26   23   22   31   27  5.146417 0.741818 SUCCESS  90
101101100   18   23   23   19   24   26   22   25  3.509341 0.898463 SUCCESS  91
101110000   22   13   32   19   25   29   20   19 12.397744 0.134320 SUCCESS  92
101110100   26   14   30   20   31   35   21   21 14.425388 0.071330 SUCCESS  93
101111000   16   24   24   21   23   22   17   23  6.219486 0.622661 SUCCESS  94
101111100   25   24   16   16   26   27   28   33 10.078167 0.259582 SUCCESS  95
110000000   22   15   32   25   21   34   27   25 11.146602 0.193530 SUCCESS  96
110000010   24   21   25   29   30   28   30   24  4.623453 0.796959 SUCCESS  97
110000100   22   22   30   21   24   17   28   30  6.510757 0.590215 SUCCESS  98
110001000   18   27   23   25   25   25   24   28  2.706360 0.951413 SUCCESS  99
110001010   20   30   24   31   26   22   21   20  5.663423 0.684875 SUCCESS 100
110010000   28   21   31   21   27   28   21   16  7.688420 0.464483 SUCCESS 101
110010010   22   27   28   29   22   13   14   23 12.389138 0.134668 SUCCESS 102
110010100   27   18   20   21   25   20   26   25  4.289153 0.830138 SUCCESS 103
110011000   24   18   18   32   24   23   22   26  6.365784 0.606330 SUCCESS 104
110011010   28   32   19   25   25   16   22   26  7.603686 0.473108 SUCCESS 105
